TeamId,TeamName,SubmissionDate,Score
3763192,"Yunfeng Zhu","2019-10-09 22:02:03",0.01865
3763282,"Lawrence Chernin","2019-10-09 22:02:41",0.01865
3763554,Li-Der,"2019-10-09 22:39:23",0.01865
3763593,"Naruhiko Nakanishi","2019-10-09 22:57:04",0.01865
3763673,Sag3x,"2019-10-09 23:27:16",0.01865
3763730,"Kostas H.","2019-10-09 23:59:18",0.01865
3763957,"Adrian Zinovei","2019-10-10 00:02:00",0.01865
3764102,"Alexandre Gandini","2019-10-10 00:23:46",0.01865
3763907,Laffaye,"2019-10-10 00:31:19",0.01865
3780977,GarrettStreet,"2019-10-10 00:31:42",0.03697
3764163,ARMADA,"2019-10-10 00:41:17",0.01865
3763187,"Peter Hurford","2019-10-10 00:56:06",0.01919
3764288,"Bojan Tunguz","2019-10-10 01:04:40",0.01865
3763690,"Maximilian Nitsche","2019-10-10 01:08:33",0.01865
3763959,"Rodrigo Lima Oliveira","2019-10-10 01:11:21",0.01865
3764216,Navy,"2019-10-10 01:15:56",0.01865
3764030,zakopuro,"2019-10-10 01:19:51",0.01865
3764397,tkasasagi,"2019-10-10 01:23:28",0.01865
3764449,"Gabriel Wu","2019-10-10 01:28:35",0.01865
3764109,whale9490,"2019-10-10 01:34:28",0.01865
3780977,GarrettStreet,"2019-10-10 01:37:17",0.01438
3764537,liuzhangzhen,"2019-10-10 01:45:02",0.01865
3763425,"Devin Anzelmo","2019-10-10 01:45:24",0.01436
3764127,nab391,"2019-10-10 02:12:35",0.01865
3764549,"Pedro Reis","2019-10-10 02:18:59",0.01865
3763730,"Kostas H.","2019-10-10 03:21:03",0.01466
3764006,BillsMafia,"2019-10-10 03:40:20",0.01865
3764237,ccc_k,"2019-10-10 03:50:30",0.01865
3765035,akk,"2019-10-10 04:17:17",0.01865
3765318,"Pulkit Mehta","2019-10-10 05:13:23",0.01865
3765538,"Leonid Sinev","2019-10-10 05:28:54",0.01865
3765568,LABAT,"2019-10-10 05:33:54",0.01865
3764852,"Marco Vasquez E","2019-10-10 05:46:19",0.01865
3765390,Joocheol,"2019-10-10 05:47:27",0.01865
3765444,"Veerala Hari Krishna","2019-10-10 05:55:49",0.01865
3764519,pocket,"2019-10-10 06:06:28",0.01436
3765928,"Marek Nurzynski","2019-10-10 06:22:36",0.01865
3764071,dngeo17,"2019-10-10 06:34:30",0.01865
